prefix,tier,family,contrast,measure,model,n,effect,low,high,p
safety,secondary,cue direction,"people cue, minor against adult",refusal,Macro-average,,14.444444444444443,7.333333333333333,22.222222222222225,
safety,planned control,cue channel,"minor cue, routine against people",refusal,GPT,25,10.666666666666664,-4.0,26.66666666666666,0.234375
safety,planned control,cue channel,"minor cue, routine against people",refusal,Claude,25,-6.666666666666665,-14.666666666666664,0.0,0.25
safety,planned control,cue channel,"minor cue, routine against people",refusal,Gemini,25,-2.666666666666666,-6.666666666666665,0.0,0.5
safety,planned control,cue channel,"minor cue, routine against people",refusal,DeepSeek,25,7.999999999999999,-1.333333333333334,19.999999999999996,0.265625
safety,planned control,cue channel,"minor cue, routine against people",refusal,Mistral,25,8.0,-2.666666666666667,21.33333333333333,0.34375
safety,planned control,cue channel,"minor cue, routine against people",refusal,Gemma,25,7.999999999999999,-2.666666666666667,21.33333333333333,0.3125
safety,planned control,cue channel,"minor cue, routine against people",refusal,Macro-average,,4.222222222222222,-0.4444444444444451,9.555555555555555,
safety,planned control,cue channel,"adult cue, routine against people",refusal,GPT,25,-1.333333333333333,-3.9999999999999996,0.0,1.0
safety,planned control,cue channel,"adult cue, routine against people",refusal,Claude,25,5.333333333333334,-5.333333333333332,17.333333333333336,0.5
safety,planned control,cue channel,"adult cue, routine against people",refusal,Gemini,25,1.333333333333333,-7.999999999999999,11.999999999999998,1.0
safety,planned control,cue channel,"adult cue, routine against people",refusal,DeepSeek,25,7.999999999999999,-2.6666666666666656,18.666666666666664,0.21875
safety,planned control,cue channel,"adult cue, routine against people",refusal,Mistral,25,-4.0,-14.666666666666664,6.666666666666664,0.625
safety,planned control,cue channel,"adult cue, routine against people",refusal,Gemma,25,-9.333333333333334,-21.333333333333336,0.0,0.25
safety,planned control,cue channel,"adult cue, routine against people",refusal,Macro-average,,-2.9605947323337506e-16,-3.7777777777777786,3.9999999999999987,
safety,secondary,prompt category,"Instruction against Information, within harm domain",refusal,GPT,10,50.91880341880342,38.162393162393165,63.20566239316238,9.999000099990002e-05
safety,secondary,prompt category,"Instruction against Information, within harm domain",refusal,Claude,10,48.50427350427351,39.08119658119658,57.28632478632479,9.999000099990002e-05
safety,secondary,prompt category,"Instruction against Information, within harm domain",refusal,Gemini,10,44.74941724941725,33.25369075369075,55.93045843045843,0.00019998000199980003
